Iteration, Path length, Time, Planning, Flying
1, 0, 0.92, 0.9, 0
2, 0, 1.92, 1.9, 0
3, 0, 2.92, 2.9, 0
4, 0, 3.92, 3.9, 0
5, 0, 4.92, 4.9, 0
6, 0, 5.92, 5.9, 0
7, 0, 6.92, 6.9, 0
8, 0, 7.92, 7.9, 0
9, 0, 8.92, 8.9, 0
10, 0, 9.92, 9.9, 0
11, 0, 10.92, 10.9, 0
12, 0, 11.92, 11.9, 0
13, 0, 12.92, 12.9, 0
14, 0, 13.92, 13.9, 0
15, 0, 14.92, 14.9, 0
16, 0, 15.92, 15.9, 0
17, 0, 16.92, 16.9, 0
18, 0, 17.92, 17.9, 0
19, 0, 18.92, 18.9, 0
20, 0, 19.92, 19.9, 0
21, 0, 20.92, 20.9, 0
22, 0, 21.92, 21.9, 0
23, 0, 22.92, 22.9, 0
24, 0, 23.92, 23.9, 0
25, 0, 24.92, 24.9, 0
26, 0, 25.92, 25.9, 0
27, 0, 26.92, 26.9, 0
28, 0, 27.92, 27.9, 0
29, 0, 28.92, 28.9, 0
30, 0, 29.92, 29.9, 0
31, 0, 30.92, 30.9, 0
32, 0, 31.92, 31.9, 0
33, 0, 32.92, 32.9, 0
34, 0, 33.92, 33.9, 0
35, 0, 34.92, 34.9, 0
36, 0, 35.92, 35.9, 0
37, 0, 36.92, 36.9, 0
38, 0, 37.92, 37.9, 0
39, 0, 38.92, 38.9, 0
40, 0, 39.92, 39.9, 0
41, 0, 40.92, 40.9, 0
42, 0, 41.92, 41.9, 0
43, 0, 42.92, 42.9, 0
44, 0, 43.92, 43.9, 0
45, 0, 44.92, 44.9, 0
46, 0, 45.92, 45.9, 0
47, 0, 46.92, 46.9, 0
48, 0, 47.92, 47.9, 0
49, 0, 48.92, 48.9, 0
50, 0, 49.92, 49.9, 0
51, 0, 50.92, 50.9, 0
52, 0, 51.92, 51.9, 0
53, 0, 52.92, 52.9, 0
54, 0, 53.92, 53.9, 0
55, 0, 54.92, 54.9, 0
56, 0, 55.92, 55.9, 0
57, 0, 56.92, 56.9, 0
58, 0, 57.92, 57.9, 0
59, 0, 58.92, 58.9, 0
60, 0, 59.92, 59.9, 0
61, 0, 60.92, 60.9, 0
62, 0, 61.92, 61.9, 0
63, 0, 62.92, 62.9, 0
64, 0, 63.92, 63.9, 0
65, 0, 64.92, 64.9, 0
66, 0, 65.92, 65.9, 0
67, 0, 66.92, 66.9, 0
68, 0, 67.92, 67.9, 0
69, 0, 68.92, 68.9, 0
70, 0, 69.92, 69.9, 0
71, 0, 70.92, 70.9, 0
72, 0, 71.92, 71.9, 0
73, 0, 72.92, 72.9, 0
74, 0, 73.92, 73.9, 0
75, 0, 74.92, 74.9, 0
76, 0, 75.92, 75.9, 0
77, 0, 76.92, 76.9, 0
78, 0, 77.92, 77.9, 0
79, 0, 78.92, 78.9, 0
80, 0, 79.92, 79.9, 0
81, 0, 80.92, 80.9, 0
82, 0, 81.92, 81.9, 0
83, 0, 82.92, 82.9, 0
84, 0, 83.92, 83.9, 0
85, 0, 84.92, 84.9, 0
86, 0, 85.92, 85.9, 0
87, 0, 86.92, 86.9, 0
88, 0, 87.92, 87.9, 0
89, 0, 88.92, 88.9, 0
90, 0, 89.92, 89.9, 0
91, 0, 90.92, 90.9, 0
92, 0, 91.92, 91.9, 0
93, 0, 92.92, 92.9, 0
94, 0, 93.92, 93.9, 0
95, 0, 94.92, 94.9, 0
96, 0, 95.92, 95.9, 0
97, 0, 96.92, 96.9, 0
98, 0, 97.92, 97.9, 0
99, 0, 98.92, 98.9, 0
100, 0, 99.92, 99.9, 0
